,open,high,low,close,volume,ticker
2024-06-25 13:30:00,293.19000244140625,293.19000244140625,292.7950134277344,292.82000732421875,4867.0,AXON
2024-06-25 13:31:00,,,,,,AXON
2024-06-25 13:32:00,,,,,,AXON
2024-06-25 13:33:00,292.67999267578125,292.67999267578125,292.67999267578125,292.67999267578125,359.0,AXON
2024-06-25 13:34:00,,,,,,AXON
2024-06-25 13:35:00,292.4049987792969,292.4049987792969,292.4049987792969,292.4049987792969,948.0,AXON
2024-06-25 13:36:00,,,,,,AXON
2024-06-25 13:37:00,,,,,,AXON
2024-06-25 13:38:00,,,,,,AXON
2024-06-25 13:39:00,,,,,,AXON
2024-06-25 13:40:00,,,,,,AXON
2024-06-25 13:41:00,,,,,,AXON
2024-06-25 13:42:00,,,,,,AXON
2024-06-25 13:43:00,,,,,,AXON
2024-06-25 13:44:00,,,,,,AXON
2024-06-25 13:45:00,,,,,,AXON
2024-06-25 13:46:00,293.75,293.75,293.75,293.75,299.0,AXON
2024-06-25 13:47:00,293.7850036621094,293.7850036621094,293.7850036621094,293.7850036621094,825.0,AXON
2024-06-25 13:48:00,294.2771911621094,294.2771911621094,294.2771911621094,294.2771911621094,122.0,AXON
2024-06-25 13:49:00,294.3500061035156,294.489990234375,293.9200134277344,294.489990234375,3586.0,AXON
2024-06-25 13:50:00,,,,,,AXON
2024-06-25 13:51:00,,,,,,AXON
2024-06-25 13:52:00,,,,,,AXON
2024-06-25 13:53:00,,,,,,AXON
2024-06-25 13:54:00,294.43499755859375,294.43499755859375,294.385009765625,294.385009765625,459.0,AXON
2024-06-25 13:55:00,294.3900146484375,294.3900146484375,294.3900146484375,294.3900146484375,670.0,AXON
2024-06-25 13:56:00,,,,,,AXON
2024-06-25 13:57:00,,,,,,AXON
2024-06-25 13:58:00,,,,,,AXON
2024-06-25 13:59:00,293.8699951171875,293.8699951171875,293.5899963378906,293.5899963378906,1115.0,AXON
2024-06-25 14:00:00,,,,,,AXON
2024-06-25 14:01:00,294.1099853515625,294.1099853515625,294.1099853515625,294.1099853515625,417.0,AXON
2024-06-25 14:02:00,,,,,,AXON
2024-06-25 14:03:00,,,,,,AXON
2024-06-25 14:04:00,294.3900146484375,294.44500732421875,294.3900146484375,294.44500732421875,1336.0,AXON
2024-06-25 14:05:00,,,,,,AXON
2024-06-25 14:06:00,,,,,,AXON
2024-06-25 14:07:00,,,,,,AXON
2024-06-25 14:08:00,,,,,,AXON
2024-06-25 14:09:00,293.7749938964844,293.7749938964844,293.7749938964844,293.7749938964844,441.0,AXON
2024-06-25 14:10:00,,,,,,AXON
2024-06-25 14:11:00,,,,,,AXON
2024-06-25 14:12:00,293.260009765625,293.260009765625,293.1000061035156,293.1000061035156,872.0,AXON
2024-06-25 14:13:00,,,,,,AXON
2024-06-25 14:14:00,,,,,,AXON
2024-06-25 14:15:00,,,,,,AXON
2024-06-25 14:16:00,,,,,,AXON
2024-06-25 14:17:00,,,,,,AXON
2024-06-25 14:18:00,291.54998779296875,291.54998779296875,291.54998779296875,291.54998779296875,439.0,AXON
2024-06-25 14:19:00,,,,,,AXON
2024-06-25 14:20:00,290.9700012207031,290.9700012207031,290.9700012207031,290.9700012207031,310.0,AXON
2024-06-25 14:21:00,,,,,,AXON
2024-06-25 14:22:00,,,,,,AXON
2024-06-25 14:23:00,,,,,,AXON
2024-06-25 14:24:00,,,,,,AXON
2024-06-25 14:25:00,,,,,,AXON
2024-06-25 14:26:00,291.07000732421875,291.07000732421875,291.07000732421875,291.07000732421875,843.0,AXON
2024-06-25 14:27:00,290.94830322265625,290.94830322265625,290.94830322265625,290.94830322265625,301.0,AXON
2024-06-25 14:28:00,291.0299987792969,291.05499267578125,291.0299987792969,291.05499267578125,477.0,AXON
2024-06-25 14:29:00,,,,,,AXON
2024-06-25 14:30:00,291.0150146484375,291.510009765625,290.760009765625,290.760009765625,3871.0,AXON
2024-06-25 14:31:00,291.5,292.07000732421875,291.5,292.07000732421875,863.0,AXON
2024-06-25 14:32:00,292.07000732421875,292.2099914550781,292.07000732421875,292.2099914550781,1142.0,AXON
2024-06-25 14:33:00,,,,,,AXON
2024-06-25 14:34:00,,,,,,AXON
2024-06-25 14:35:00,292.1300048828125,292.1300048828125,292.1300048828125,292.1300048828125,1444.0,AXON
2024-06-25 14:36:00,,,,,,AXON
2024-06-25 14:37:00,,,,,,AXON
2024-06-25 14:38:00,291.840087890625,292.0,291.8399963378906,292.0,945.0,AXON
2024-06-25 14:39:00,291.989990234375,292.135009765625,291.989990234375,292.135009765625,1305.0,AXON
2024-06-25 14:40:00,292.3299865722656,292.3299865722656,292.3299865722656,292.3299865722656,168.0,AXON
2024-06-25 14:41:00,292.6199951171875,292.6199951171875,292.6199951171875,292.6199951171875,348.0,AXON
2024-06-25 14:42:00,292.5899963378906,292.5899963378906,292.5899963378906,292.5899963378906,421.0,AXON
2024-06-25 14:43:00,292.8500061035156,292.8500061035156,292.8500061035156,292.8500061035156,641.0,AXON
2024-06-25 14:44:00,292.04998779296875,292.04998779296875,292.04998779296875,292.04998779296875,272.0,AXON
2024-06-25 14:45:00,,,,,,AXON
2024-06-25 14:46:00,292.1466979980469,292.1466979980469,292.1466979980469,292.1466979980469,757.0,AXON
2024-06-25 14:47:00,,,,,,AXON
2024-06-25 14:48:00,292.9800109863281,292.9800109863281,292.9800109863281,292.9800109863281,983.0,AXON
2024-06-25 14:49:00,,,,,,AXON
2024-06-25 14:50:00,,,,,,AXON
2024-06-25 14:51:00,,,,,,AXON
2024-06-25 14:52:00,,,,,,AXON
2024-06-25 14:53:00,,,,,,AXON
2024-06-25 14:54:00,,,,,,AXON
2024-06-25 14:55:00,,,,,,AXON
2024-06-25 14:56:00,,,,,,AXON
2024-06-25 14:57:00,292.1600036621094,292.5350036621094,292.1600036621094,292.5350036621094,1069.0,AXON
2024-06-25 14:58:00,,,,,,AXON
2024-06-25 14:59:00,,,,,,AXON
2024-06-25 15:00:00,292.5245056152344,292.5245056152344,292.5245056152344,292.5245056152344,272.0,AXON
2024-06-25 15:01:00,292.7099914550781,292.9800109863281,292.6499938964844,292.6499938964844,1492.0,AXON
2024-06-25 15:02:00,292.260009765625,292.260009765625,292.260009765625,292.260009765625,210.0,AXON
2024-06-25 15:03:00,292.4800109863281,292.6199951171875,292.4800109863281,292.6199951171875,2024.0,AXON
2024-06-25 15:04:00,291.79998779296875,291.8999938964844,291.79998779296875,291.8999938964844,497.0,AXON
2024-06-25 15:05:00,292.1600036621094,292.1600036621094,292.1600036621094,292.1600036621094,611.0,AXON
2024-06-25 15:06:00,,,,,,AXON
2024-06-25 15:07:00,,,,,,AXON
2024-06-25 15:08:00,291.04998779296875,291.04998779296875,291.04998779296875,291.04998779296875,737.0,AXON
2024-06-25 15:09:00,,,,,,AXON
2024-06-25 15:10:00,,,,,,AXON
2024-06-25 15:11:00,,,,,,AXON
2024-06-25 15:12:00,291.1340026855469,291.1340026855469,291.1340026855469,291.1340026855469,131.0,AXON
2024-06-25 15:13:00,,,,,,AXON
2024-06-25 15:14:00,291.8800048828125,291.8800048828125,291.8800048828125,291.8800048828125,290.0,AXON
2024-06-25 15:15:00,291.17999267578125,291.5899963378906,291.17999267578125,291.5899963378906,535.0,AXON
2024-06-25 15:16:00,291.1400146484375,291.2099914550781,291.1400146484375,291.2099914550781,608.0,AXON
2024-06-25 15:17:00,291.69000244140625,291.9949951171875,291.69000244140625,291.9949951171875,1022.0,AXON
2024-06-25 15:18:00,,,,,,AXON
2024-06-25 15:19:00,292.239990234375,292.54998779296875,291.8699951171875,292.54998779296875,944.0,AXON
2024-06-25 15:20:00,292.45001220703125,292.8699951171875,292.45001220703125,292.8699951171875,1807.0,AXON
2024-06-25 15:21:00,,,,,,AXON
2024-06-25 15:22:00,292.5950012207031,292.8299865722656,292.5950012207031,292.8299865722656,1340.0,AXON
2024-06-25 15:23:00,292.94000244140625,292.94000244140625,292.94000244140625,292.94000244140625,907.0,AXON
2024-06-25 15:24:00,293.05999755859375,293.05999755859375,293.05999755859375,293.05999755859375,706.0,AXON
2024-06-25 15:25:00,292.9700012207031,292.9700012207031,292.9700012207031,292.9700012207031,399.0,AXON
2024-06-25 15:26:00,292.9700012207031,292.9700012207031,292.9599914550781,292.9599914550781,17454.0,AXON
2024-06-25 15:27:00,292.9599914550781,292.9599914550781,292.9599914550781,292.9599914550781,388.0,AXON
2024-06-25 15:28:00,292.989990234375,293.3999938964844,292.9700012207031,293.3699951171875,1986.0,AXON
2024-06-25 15:29:00,293.2699890136719,293.375,293.2699890136719,293.3699951171875,1461.0,AXON
2024-06-25 15:30:00,293.4049987792969,293.4150085449219,293.4049987792969,293.4150085449219,1922.0,AXON
2024-06-25 15:31:00,,,,,,AXON
2024-06-25 15:32:00,,,,,,AXON
2024-06-25 15:33:00,,,,,,AXON
2024-06-25 15:34:00,,,,,,AXON
2024-06-25 15:35:00,,,,,,AXON
2024-06-25 15:36:00,293.6499938964844,293.6499938964844,293.44000244140625,293.44000244140625,2353.0,AXON
2024-06-25 15:37:00,,,,,,AXON
2024-06-25 15:38:00,,,,,,AXON
2024-06-25 15:39:00,293.2950134277344,293.4599914550781,293.2950134277344,293.4599914550781,577.0,AXON
