,open,high,low,close,volume,ticker
2024-06-25 13:30:00,911.5599975585938,911.5599975585938,911.5599975585938,911.5599975585938,4179.0,GWW
2024-06-25 13:31:00,,,,,,GWW
2024-06-25 13:32:00,,,,,,GWW
2024-06-25 13:33:00,,,,,,GWW
2024-06-25 13:34:00,,,,,,GWW
2024-06-25 13:35:00,,,,,,GWW
2024-06-25 13:36:00,,,,,,GWW
2024-06-25 13:37:00,,,,,,GWW
2024-06-25 13:38:00,,,,,,GWW
2024-06-25 13:39:00,,,,,,GWW
2024-06-25 13:40:00,,,,,,GWW
2024-06-25 13:41:00,,,,,,GWW
2024-06-25 13:42:00,,,,,,GWW
2024-06-25 13:43:00,,,,,,GWW
2024-06-25 13:44:00,,,,,,GWW
2024-06-25 13:45:00,,,,,,GWW
2024-06-25 13:46:00,,,,,,GWW
2024-06-25 13:47:00,,,,,,GWW
2024-06-25 13:48:00,,,,,,GWW
2024-06-25 13:49:00,,,,,,GWW
2024-06-25 13:50:00,,,,,,GWW
2024-06-25 13:51:00,,,,,,GWW
2024-06-25 13:52:00,910.0499877929688,910.0499877929688,910.0499877929688,910.0499877929688,182.0,GWW
2024-06-25 13:53:00,,,,,,GWW
2024-06-25 13:54:00,906.8599853515625,906.8599853515625,906.8599853515625,906.8599853515625,890.0,GWW
2024-06-25 13:55:00,,,,,,GWW
2024-06-25 13:56:00,,,,,,GWW
2024-06-25 13:57:00,,,,,,GWW
2024-06-25 13:58:00,905.7163696289062,905.7163696289062,905.7163696289062,905.7163696289062,381.0,GWW
2024-06-25 13:59:00,904.1699829101562,904.1699829101562,904.1699829101562,904.1699829101562,1280.0,GWW
2024-06-25 14:00:00,,,,,,GWW
2024-06-25 14:01:00,,,,,,GWW
2024-06-25 14:02:00,,,,,,GWW
2024-06-25 14:03:00,906.5999755859375,906.5999755859375,906.10498046875,906.10498046875,580.0,GWW
2024-06-25 14:04:00,906.0999755859375,906.0999755859375,906.0999755859375,906.0999755859375,359.0,GWW
2024-06-25 14:05:00,,,,,,GWW
2024-06-25 14:06:00,907.3800048828125,907.3800048828125,906.1400146484375,906.1400146484375,1964.0,GWW
2024-06-25 14:07:00,,,,,,GWW
2024-06-25 14:08:00,904.8499755859375,904.8499755859375,904.8499755859375,904.8499755859375,422.0,GWW
2024-06-25 14:09:00,903.7899780273438,903.7899780273438,903.7899780273438,903.7899780273438,1077.0,GWW
2024-06-25 14:10:00,,,,,,GWW
2024-06-25 14:11:00,,,,,,GWW
2024-06-25 14:12:00,,,,,,GWW
2024-06-25 14:13:00,,,,,,GWW
2024-06-25 14:14:00,,,,,,GWW
2024-06-25 14:15:00,,,,,,GWW
2024-06-25 14:16:00,903.7899780273438,903.8400268554688,903.7899780273438,903.8400268554688,1480.0,GWW
2024-06-25 14:17:00,,,,,,GWW
2024-06-25 14:18:00,,,,,,GWW
2024-06-25 14:19:00,903.3300170898438,903.3300170898438,903.3300170898438,903.3300170898438,629.0,GWW
2024-06-25 14:20:00,903.4000244140625,903.4000244140625,903.4000244140625,903.4000244140625,1554.0,GWW
2024-06-25 14:21:00,,,,,,GWW
2024-06-25 14:22:00,,,,,,GWW
2024-06-25 14:23:00,,,,,,GWW
2024-06-25 14:24:00,,,,,,GWW
2024-06-25 14:25:00,,,,,,GWW
2024-06-25 14:26:00,,,,,,GWW
2024-06-25 14:27:00,900.0250244140625,900.0250244140625,900.0250244140625,900.0250244140625,1204.0,GWW
2024-06-25 14:28:00,,,,,,GWW
2024-06-25 14:29:00,,,,,,GWW
2024-06-25 14:30:00,,,,,,GWW
2024-06-25 14:31:00,,,,,,GWW
